"enum_row_id","provider","model_title","model_url","model_key_inferred","model_enum_on_page","field_path","enum_value","value_order","is_active","updated_at"
"99","kie","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","kling/v25-turbo-text-to-video-pro","kling/v2-5-turbo-text-to-video-pro","paths.post.input.aspect_ratio","9:16","3","1","2026-03-12 16:57:50"
"100","kie","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","kling/text-to-video","kling-2.6/text-to-video","paths.post.input.aspect_ratio","1:1","1","1","2026-03-12 16:57:50"
"101","kie","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","kling/text-to-video","kling-2.6/text-to-video","paths.post.input.aspect_ratio","16:9","2","1","2026-03-12 16:57:50"
"102","kie","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","kling/text-to-video","kling-2.6/text-to-video","paths.post.input.aspect_ratio","9:16","3","1","2026-03-12 16:57:50"
"103","kie","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling/kling-3-0","kling-3.0/video","paths.post.input.aspect_ratio","1:1","1","1","2026-03-12 16:57:50"
"104","kie","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling/kling-3-0","kling-3.0/video","paths.post.input.aspect_ratio","16:9","2","1","2026-03-12 16:57:50"
"105","kie","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling/kling-3-0","kling-3.0/video","paths.post.input.aspect_ratio","9:16","3","1","2026-03-12 16:57:50"
"106","kie","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","kling/v2-1-master-text-to-video","kling/v2-1-master-text-to-video","paths.post.input.aspect_ratio","1:1","1","1","2026-03-12 16:57:50"
"107","kie","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","kling/v2-1-master-text-to-video","kling/v2-1-master-text-to-video","paths.post.input.aspect_ratio","16:9","2","1","2026-03-12 16:57:50"
"108","kie","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","kling/v2-1-master-text-to-video","kling/v2-1-master-text-to-video","paths.post.input.aspect_ratio","9:16","3","1","2026-03-12 16:57:50"
